date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:16	29266/29266	---M-Z	200	added ('OK')	text/css	etag:%227252-5427772e98000-gzip%22	http://frontend.big-skins.com/seiko/html/css/style-color-caribbean.css	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/css/style-color-caribbean.css	(from http://frontend.big-skins.com/seiko/html/)
20:35:16	28087/28087	---M-Z	200	added ('OK')	text/css	etag:%226db7-5427772e98000-gzip%22	http://frontend.big-skins.com/seiko/html/css/style-color-orange.css	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/css/style-color-orange.css	(from http://frontend.big-skins.com/seiko/html/)
20:35:17	5418/5418	---M-Z	200	added ('OK')	text/css	etag:%22152a-5417a29e14d00-gzip%22	http://frontend.big-skins.com/seiko/html/fonts/icomoon-reg/style.css	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/fonts/icomoon-reg/style.css	(from http://frontend.big-skins.com/seiko/html/)
20:35:17	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/fe1/www.google-analytics.com/analytics.js	(from http://frontend.big-skins.com/seiko/html/)
20:35:18	66408/66408	---M-Z	200	added ('OK')	text/html	etag:%2210368-5534322b8bd80-gzip%22	http://frontend.big-skins.com/seiko/html/cart.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/cart.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:21	34110/34110	---M--	200	added ('OK')	image/gif	etag:%22853e-5417a1f824580%22	http://frontend.big-skins.com/seiko/html/images/animate-tools.gif	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/animate-tools.gif	(from http://frontend.big-skins.com/seiko/html/)
20:35:21	25569/25569	---M--	200	added ('OK')	image/jpeg	etag:%2263e1-5417a2446f980%22	http://frontend.big-skins.com/seiko/html/images/products/product-16-c1.jpg	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/products/product-16-c1.jpg	(from http://frontend.big-skins.com/seiko/html/)
20:35:22	58555/58555	---M-Z	200	added ('OK')	text/html	etag:%22e4bb-55342e7b68a00-gzip%22	http://frontend.big-skins.com/seiko/html/checkout.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/checkout.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:22	114/114	---M--	200	added ('OK')	image/png	etag:%2272-5427ef322a600%22	http://frontend.big-skins.com/seiko/html/images/flags/eng.png	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/flags/eng.png	(from http://frontend.big-skins.com/seiko/html/)
20:35:22	18041/18041	---M--	200	added ('OK')	image/jpeg	etag:%224679-5417a24657e00%22	http://frontend.big-skins.com/seiko/html/images/products/product-18.jpg	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/products/product-18.jpg	(from http://frontend.big-skins.com/seiko/html/)
20:35:22	24513/24513	---M--	200	added ('OK')	image/jpeg	etag:%225fc1-5417a24c10b80%22	http://frontend.big-skins.com/seiko/html/images/products/product-20.jpg	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/products/product-20.jpg	(from http://frontend.big-skins.com/seiko/html/)
20:35:22	97/97	---M--	200	added ('OK')	image/png	etag:%2261-5427ef322a600%22	http://frontend.big-skins.com/seiko/html/images/flags/fr.png	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/flags/fr.png	(from http://frontend.big-skins.com/seiko/html/)
